"Module","ClassName","Target","Severity","ProblemId","Description","Remediation"
"Az.ServiceBus","Microsoft.Azure.Commands.ServiceBus.Commands.ServiceBus.AddAzureServiceBusIPRule","Add-AzServiceBusIPRule","0","1000","The cmdlet 'Add-AzServiceBusIPRule' has been removed and no alias was found for the original cmdlet name.","Add the cmdlet 'Add-AzServiceBusIPRule' back to the module, or add an alias to the original cmdlet name."
"Az.ServiceBus","Microsoft.Azure.Commands.ServiceBus.Commands.NetworkruleSet.NewAzureEventHubVNetRule","Add-AzServiceBusVirtualNetworkRule","0","1000","The cmdlet 'Add-AzServiceBusVirtualNetworkRule' has been removed and no alias was found for the original cmdlet name.","Add the cmdlet 'Add-AzServiceBusVirtualNetworkRule' back to the module, or add an alias to the original cmdlet name."
"Az.ServiceBus","Microsoft.Azure.Commands.ServiceBus.Commands.Namespace.GetAzureRmServiceBusNamespace","Get-AzServiceBusNamespace","0","1000","The cmdlet 'Get-AzServiceBusNamespace' has been removed and no alias was found for the original cmdlet name.","Add the cmdlet 'Get-AzServiceBusNamespace' back to the module, or add an alias to the original cmdlet name."
"Az.ServiceBus","Microsoft.Azure.Commands.ServiceBus.Commands.Namespace.GetAzureServiceBusOperations","Get-AzServiceBusOperation","0","1000","The cmdlet 'Get-AzServiceBusOperation' has been removed and no alias was found for the original cmdlet name.","Add the cmdlet 'Get-AzServiceBusOperation' back to the module, or add an alias to the original cmdlet name."
"Az.ServiceBus","Microsoft.Azure.Commands.ServiceBus.Cmdlets.Namespace.NewKeyVaultPropertyObject","New-AzServiceBusEncryptionConfig","0","1000","The cmdlet 'New-AzServiceBusEncryptionConfig' has been removed and no alias was found for the original cmdlet name.","Add the cmdlet 'New-AzServiceBusEncryptionConfig' back to the module, or add an alias to the original cmdlet name."
"Az.ServiceBus","Microsoft.Azure.Commands.ServiceBus.Commands.Namespace.NewAzureRmServiceBusNamespace","New-AzServiceBusNamespace","0","1000","The cmdlet 'New-AzServiceBusNamespace' has been removed and no alias was found for the original cmdlet name.","Add the cmdlet 'New-AzServiceBusNamespace' back to the module, or add an alias to the original cmdlet name."
"Az.ServiceBus","Microsoft.Azure.Commands.ServiceBus.Commands.NetworkruleSet.RemoveAzureServiceBusIPRule","Remove-AzServiceBusIPRule","0","1000","The cmdlet 'Remove-AzServiceBusIPRule' has been removed and no alias was found for the original cmdlet name.","Add the cmdlet 'Remove-AzServiceBusIPRule' back to the module, or add an alias to the original cmdlet name."
"Az.ServiceBus","Microsoft.Azure.Commands.ServiceBus.Commands.Namespace.RemoveAzureRmServiceBusNamespace","Remove-AzServiceBusNamespace","0","1000","The cmdlet 'Remove-AzServiceBusNamespace' has been removed and no alias was found for the original cmdlet name.","Add the cmdlet 'Remove-AzServiceBusNamespace' back to the module, or add an alias to the original cmdlet name."
"Az.ServiceBus","Microsoft.Azure.Commands.ServiceBus.Commands.NetworkruleSet.RemoveAzureServiceBusNetworkRuleSet","Remove-AzServiceBusNetworkRuleSet","0","1000","The cmdlet 'Remove-AzServiceBusNetworkRuleSet' has been removed and no alias was found for the original cmdlet name.","Add the cmdlet 'Remove-AzServiceBusNetworkRuleSet' back to the module, or add an alias to the original cmdlet name."
"Az.ServiceBus","Microsoft.Azure.Commands.ServiceBus.Commands.NetworkruleSet.RemoveAzureEventHubVNetRule","Remove-AzServiceBusVirtualNetworkRule","0","1000","The cmdlet 'Remove-AzServiceBusVirtualNetworkRule' has been removed and no alias was found for the original cmdlet name.","Add the cmdlet 'Remove-AzServiceBusVirtualNetworkRule' back to the module, or add an alias to the original cmdlet name."
"Az.ServiceBus","Microsoft.Azure.Commands.ServiceBus.Commands.Namespace.SetAzureRmServiceBusNamespace","Set-AzServiceBusNamespace","0","1000","The cmdlet 'Set-AzServiceBusNamespace' has been removed and no alias was found for the original cmdlet name.","Add the cmdlet 'Set-AzServiceBusNamespace' back to the module, or add an alias to the original cmdlet name."
"Az.ServiceBus","Microsoft.Azure.Commands.ServiceBus.Commands.Namespace.GetAzureRmServiceBusNamespace","Get-AzServiceBusNamespace","0","1020","The cmdlet 'Get-AzServiceBusNamespace' no longer has output type 'Microsoft.Azure.Commands.ServiceBus.Models.PSNamespaceAttributes'.","Make cmdlet 'Get-AzServiceBusNamespace' return type 'Microsoft.Azure.Commands.ServiceBus.Models.PSNamespaceAttributes'."
"Az.ServiceBus","Microsoft.Azure.Commands.ServiceBus.Commands.Namespace.GetAzureRmServiceBusNamespace","Get-AzServiceBusNamespace","0","2010","The cmdlet 'Get-AzServiceBusNamespace' no longer supports the alias 'ResourceGroup' for parameter 'ResourceGroupName'.","Add the alias 'ResourceGroup' back to parameter 'ResourceGroupName'."
