"Module","ClassName","Target","Severity","ProblemId","Description","Remediation"
"Az.CloudHealth","Get-AzMonitorHealthModel","Get-AzMonitorHealthModel","2","8010","Get-AzMonitorHealthModel Changes the ConfirmImpact but does not set the SupportsShouldProcess property to true in the cmdlet attribute.","Read-only Get function metadata reports None without SupportsShouldProcess; the verifier expects Medium."
"Az.CloudHealth","Get-AzMonitorHealthModel","Get-AzMonitorHealthModel","2","8200","Get-AzMonitorHealthModel changes the confirm impact.  Please ensure that the change in ConfirmImpact is justified","Read-only Get function metadata reports None without SupportsShouldProcess; the verifier expects Medium."
"Az.CloudHealth","Get-AzMonitorHealthModelAuthenticationSetting","Get-AzMonitorHealthModelAuthenticationSetting","2","8010","Get-AzMonitorHealthModelAuthenticationSetting Changes the ConfirmImpact but does not set the SupportsShouldProcess property to true in the cmdlet attribute.","Read-only Get function metadata reports None without SupportsShouldProcess; the verifier expects Medium."
"Az.CloudHealth","Get-AzMonitorHealthModelAuthenticationSetting","Get-AzMonitorHealthModelAuthenticationSetting","2","8200","Get-AzMonitorHealthModelAuthenticationSetting changes the confirm impact.  Please ensure that the change in ConfirmImpact is justified","Read-only Get function metadata reports None without SupportsShouldProcess; the verifier expects Medium."
"Az.CloudHealth","Get-AzMonitorHealthModelDiscoveryRule","Get-AzMonitorHealthModelDiscoveryRule","2","8010","Get-AzMonitorHealthModelDiscoveryRule Changes the ConfirmImpact but does not set the SupportsShouldProcess property to true in the cmdlet attribute.","Read-only Get function metadata reports None without SupportsShouldProcess; the verifier expects Medium."
"Az.CloudHealth","Get-AzMonitorHealthModelDiscoveryRule","Get-AzMonitorHealthModelDiscoveryRule","2","8200","Get-AzMonitorHealthModelDiscoveryRule changes the confirm impact.  Please ensure that the change in ConfirmImpact is justified","Read-only Get function metadata reports None without SupportsShouldProcess; the verifier expects Medium."
"Az.CloudHealth","Get-AzMonitorHealthModelEntity","Get-AzMonitorHealthModelEntity","2","8010","Get-AzMonitorHealthModelEntity Changes the ConfirmImpact but does not set the SupportsShouldProcess property to true in the cmdlet attribute.","Read-only Get function metadata reports None without SupportsShouldProcess; the verifier expects Medium."
"Az.CloudHealth","Get-AzMonitorHealthModelEntity","Get-AzMonitorHealthModelEntity","2","8200","Get-AzMonitorHealthModelEntity changes the confirm impact.  Please ensure that the change in ConfirmImpact is justified","Read-only Get function metadata reports None without SupportsShouldProcess; the verifier expects Medium."
"Az.CloudHealth","Get-AzMonitorHealthModelEntityDataAnnotation","Get-AzMonitorHealthModelEntityDataAnnotation","2","8010","Get-AzMonitorHealthModelEntityDataAnnotation Changes the ConfirmImpact but does not set the SupportsShouldProcess property to true in the cmdlet attribute.","Read-only Get function metadata reports None without SupportsShouldProcess; the verifier expects Medium."
"Az.CloudHealth","Get-AzMonitorHealthModelEntityDataAnnotation","Get-AzMonitorHealthModelEntityDataAnnotation","2","8200","Get-AzMonitorHealthModelEntityDataAnnotation changes the confirm impact.  Please ensure that the change in ConfirmImpact is justified","Read-only Get function metadata reports None without SupportsShouldProcess; the verifier expects Medium."
