"AssemblyFileName","ClassName","Target","Severity","ProblemId","Description","Remediation"
"Az.ApiManagement","Microsoft.Azure.Commands.ApiManagement.Commands.AddAzureApiManagementRegion","Add-AzApiManagementRegion","0","3000","The type of property 'Sku' of type 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagement' has changed from 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku' to 'System.String'.","Change the type of property 'Sku' back to 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku'."
"Az.ApiManagement","Microsoft.Azure.Commands.ApiManagement.Commands.AddAzureApiManagementRegion","Add-AzApiManagementRegion","0","3000","The type of property 'Sku' of type 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementRegion' has changed from 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku' to 'System.String'.","Change the type of property 'Sku' back to 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku'."
"Az.ApiManagement","Microsoft.Azure.Commands.ApiManagement.Commands.AddAzureApiManagementRegion","Add-AzApiManagementRegion","0","2000","The cmdlet 'Add-AzApiManagementRegion' no longer supports the parameter 'Sku' and no alias was found for the original parameter name.","Add the parameter 'Sku' back to the cmdlet 'Add-AzApiManagementRegion', or add an alias to the original parameter name."
"Az.ApiManagement","Microsoft.Azure.Commands.ApiManagement.Commands.BackupAzureApiManagement","Backup-AzApiManagement","0","3000","The type of property 'Sku' of type 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagement' has changed from 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku' to 'System.String'.","Change the type of property 'Sku' back to 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku'."
"Az.ApiManagement","Microsoft.Azure.Commands.ApiManagement.Commands.GetAzureApiManagement","Get-AzApiManagement","0","3000","The type of property 'Sku' of type 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagement' has changed from 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku' to 'System.String'.","Change the type of property 'Sku' back to 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku'."
"Az.ApiManagement","Microsoft.Azure.Commands.ApiManagement.Commands.GetAzureApiManagementNetworkStatus","Get-AzApiManagementNetworkStatus","0","3000","The type of property 'Sku' of type 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagement' has changed from 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku' to 'System.String'.","Change the type of property 'Sku' back to 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku'."
"Az.ApiManagement","Microsoft.Azure.Commands.ApiManagement.Commands.GetAzureApiManagementSsoToken","Get-AzApiManagementSsoToken","0","3000","The type of property 'Sku' of type 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagement' has changed from 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku' to 'System.String'.","Change the type of property 'Sku' back to 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku'."
"Az.ApiManagement","Microsoft.Azure.Commands.ApiManagement.Commands.NewAzureApiManagement","New-AzApiManagement","0","3000","The type of property 'Sku' of type 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagement' has changed from 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku' to 'System.String'.","Change the type of property 'Sku' back to 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku'."
"Az.ApiManagement","Microsoft.Azure.Commands.ApiManagement.Commands.NewAzureApiManagement","New-AzApiManagement","0","2000","The cmdlet 'New-AzApiManagement' no longer supports the parameter 'Sku' and no alias was found for the original parameter name.","Add the parameter 'Sku' back to the cmdlet 'New-AzApiManagement', or add an alias to the original parameter name."
"Az.ApiManagement","Microsoft.Azure.Commands.ApiManagement.Commands.NewAzureApiManagementRegion","New-AzApiManagementRegion","0","3000","The type of property 'Sku' of type 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementRegion' has changed from 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku' to 'System.String'.","Change the type of property 'Sku' back to 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku'."
"Az.ApiManagement","Microsoft.Azure.Commands.ApiManagement.Commands.RemoveAzureApiManagementRegion","Remove-AzApiManagementRegion","0","3000","The type of property 'Sku' of type 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagement' has changed from 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku' to 'System.String'.","Change the type of property 'Sku' back to 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku'."
"Az.ApiManagement","Microsoft.Azure.Commands.ApiManagement.Commands.RemoveAzureApiManagementRegion","Remove-AzApiManagementRegion","0","3000","The type of property 'Sku' of type 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagement' has changed from 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku' to 'System.String'.","Change the type of property 'Sku' back to 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku'."
"Az.ApiManagement","Microsoft.Azure.Commands.ApiManagement.Commands.RestoreAzureApiManagement","Restore-AzApiManagement","0","3000","The type of property 'Sku' of type 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagement' has changed from 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku' to 'System.String'.","Change the type of property 'Sku' back to 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku'."
"Az.ApiManagement","Microsoft.Azure.Commands.ApiManagement.Commands.SetAzureApiManagement","Set-AzApiManagement","0","3000","The type of property 'Sku' of type 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagement' has changed from 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku' to 'System.String'.","Change the type of property 'Sku' back to 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku'."
"Az.ApiManagement","Microsoft.Azure.Commands.ApiManagement.Commands.SetAzureApiManagement","Set-AzApiManagement","0","3000","The type of property 'Sku' of type 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagement' has changed from 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku' to 'System.String'.","Change the type of property 'Sku' back to 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku'."
"Az.ApiManagement","Microsoft.Azure.Commands.ApiManagement.Commands.UpdateAzureApiManagementRegion","Update-AzApiManagementRegion","0","3000","The type of property 'Sku' of type 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagement' has changed from 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku' to 'System.String'.","Change the type of property 'Sku' back to 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku'."
"Az.ApiManagement","Microsoft.Azure.Commands.ApiManagement.Commands.UpdateAzureApiManagementRegion","Update-AzApiManagementRegion","0","3000","The type of property 'Sku' of type 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagement' has changed from 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku' to 'System.String'.","Change the type of property 'Sku' back to 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku'."
"Az.ApiManagement","Microsoft.Azure.Commands.ApiManagement.Commands.UpdateAzureApiManagementRegion","Update-AzApiManagementRegion","0","2020","The cmdlet 'Update-AzApiManagementRegion' no longer supports the type 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku' for parameter 'Sku'.","Change the type for parameter 'Sku' back to 'Microsoft.Azure.Commands.ApiManagement.Models.PsApiManagementSku'."
