"AssemblyFileName","ClassName","Target","Severity","ProblemId","Description","Remediation"
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.NewAzureRmManagedServicesAssignment","New-AzManagedServicesAssignment","0","2010","The cmdlet 'New-AzManagedServicesAssignment' no longer supports the alias 'AzureRmContext' for parameter 'DefaultProfile'.","Add the alias 'AzureRmContext' back to parameter 'DefaultProfile'."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.NewAzureRmManagedServicesAssignment","New-AzManagedServicesAssignment","0","1050","The parameter set 'Default' for cmdlet 'New-AzManagedServicesAssignment' has been removed.","Add parameter set 'Default' back to cmdlet 'New-AzManagedServicesAssignment'."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.NewAzureRmManagedServicesAssignment","New-AzManagedServicesAssignment","0","1050","The parameter set 'ByInputObject' for cmdlet 'New-AzManagedServicesAssignment' has been removed.","Add parameter set 'ByInputObject' back to cmdlet 'New-AzManagedServicesAssignment'."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.NewAzureRmManagedServicesAssignment","New-AzManagedServicesAssignment","0","1050","The parameter set '__AllParameterSets' for cmdlet 'New-AzManagedServicesAssignment' has been removed.","Add parameter set '__AllParameterSets' back to cmdlet 'New-AzManagedServicesAssignment'."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.NewAzureRmManagedServicesDefinition","New-AzManagedServicesDefinition","0","1020","The cmdlet 'New-AzManagedServicesDefinition' no longer has output type 'Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Models.PSRegistrationDefinition'.","Make cmdlet 'New-AzManagedServicesDefinition' return type 'Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Models.PSRegistrationDefinition'."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.NewAzureRmManagedServicesDefinition","New-AzManagedServicesDefinition","0","2000","The cmdlet 'New-AzManagedServicesDefinition' no longer supports the parameter 'DisplayName' and no alias was found for the original parameter name.","Add the parameter 'DisplayName' back to the cmdlet 'New-AzManagedServicesDefinition', or add an alias to the original parameter name."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.NewAzureRmManagedServicesDefinition","New-AzManagedServicesDefinition","0","2000","The cmdlet 'New-AzManagedServicesDefinition' no longer supports the parameter 'PrincipalId' and no alias was found for the original parameter name.","Add the parameter 'PrincipalId' back to the cmdlet 'New-AzManagedServicesDefinition', or add an alias to the original parameter name."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.NewAzureRmManagedServicesDefinition","New-AzManagedServicesDefinition","0","2000","The cmdlet 'New-AzManagedServicesDefinition' no longer supports the parameter 'RoleDefinitionId' and no alias was found for the original parameter name.","Add the parameter 'RoleDefinitionId' back to the cmdlet 'New-AzManagedServicesDefinition', or add an alias to the original parameter name."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.NewAzureRmManagedServicesDefinition","New-AzManagedServicesDefinition","0","2110","The element type for parameter 'Authorization' has been changed from 'Microsoft.Azure.Management.ManagedServices.Models.Authorization' to 'Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Models.Api20200201Preview.IAuthorization'.","Change the element type for parameter 'Authorization' back to 'Microsoft.Azure.Management.ManagedServices.Models.Authorization'."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.NewAzureRmManagedServicesDefinition","New-AzManagedServicesDefinition","0","2020","The cmdlet 'New-AzManagedServicesDefinition' no longer supports the type 'Microsoft.Azure.Commands.Common.Authentication.Abstractions.Core.IAzureContextContainer' for parameter 'DefaultProfile'.","Change the type for parameter 'DefaultProfile' back to 'Microsoft.Azure.Commands.Common.Authentication.Abstractions.Core.IAzureContextContainer'."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.NewAzureRmManagedServicesDefinition","New-AzManagedServicesDefinition","0","2010","The cmdlet 'New-AzManagedServicesDefinition' no longer supports the alias 'AzContext' for parameter 'DefaultProfile'.","Add the alias 'AzContext' back to parameter 'DefaultProfile'."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.NewAzureRmManagedServicesDefinition","New-AzManagedServicesDefinition","0","2010","The cmdlet 'New-AzManagedServicesDefinition' no longer supports the alias 'AzureRmContext' for parameter 'DefaultProfile'.","Add the alias 'AzureRmContext' back to parameter 'DefaultProfile'."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.NewAzureRmManagedServicesDefinition","New-AzManagedServicesDefinition","0","1050","The parameter set 'Default' for cmdlet 'New-AzManagedServicesDefinition' has been removed.","Add parameter set 'Default' back to cmdlet 'New-AzManagedServicesDefinition'."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.NewAzureRmManagedServicesDefinition","New-AzManagedServicesDefinition","0","1050","The parameter set 'ByPlan' for cmdlet 'New-AzManagedServicesDefinition' has been removed.","Add parameter set 'ByPlan' back to cmdlet 'New-AzManagedServicesDefinition'."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.NewAzureRmManagedServicesDefinition","New-AzManagedServicesDefinition","0","1050","The parameter set 'ByAuthorization' for cmdlet 'New-AzManagedServicesDefinition' has been removed.","Add parameter set 'ByAuthorization' back to cmdlet 'New-AzManagedServicesDefinition'."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.NewAzureRmManagedServicesDefinition","New-AzManagedServicesDefinition","0","1050","The parameter set '__AllParameterSets' for cmdlet 'New-AzManagedServicesDefinition' has been removed.","Add parameter set '__AllParameterSets' back to cmdlet 'New-AzManagedServicesDefinition'."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.RemoveAzureRmManagedServcicesAssignment","Remove-AzManagedServicesAssignment","0","2020","The cmdlet 'Remove-AzManagedServicesAssignment' no longer supports the type 'Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Models.PSRegistrationAssignment' for parameter 'InputObject'.","Change the type for parameter 'InputObject' back to 'Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Models.PSRegistrationAssignment'."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.RemoveAzureRmManagedServcicesAssignment","Remove-AzManagedServicesAssignment","0","2020","The cmdlet 'Remove-AzManagedServicesAssignment' no longer supports the type 'Microsoft.Azure.Commands.Common.Authentication.Abstractions.Core.IAzureContextContainer' for parameter 'DefaultProfile'.","Change the type for parameter 'DefaultProfile' back to 'Microsoft.Azure.Commands.Common.Authentication.Abstractions.Core.IAzureContextContainer'."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.RemoveAzureRmManagedServcicesAssignment","Remove-AzManagedServicesAssignment","0","2010","The cmdlet 'Remove-AzManagedServicesAssignment' no longer supports the alias 'AzContext' for parameter 'DefaultProfile'.","Add the alias 'AzContext' back to parameter 'DefaultProfile'."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.RemoveAzureRmManagedServcicesAssignment","Remove-AzManagedServicesAssignment","0","2010","The cmdlet 'Remove-AzManagedServicesAssignment' no longer supports the alias 'AzureRmContext' for parameter 'DefaultProfile'.","Add the alias 'AzureRmContext' back to parameter 'DefaultProfile'."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.RemoveAzureRmManagedServicesDefinition","Remove-AzManagedServicesDefinition","0","2020","The cmdlet 'Remove-AzManagedServicesDefinition' no longer supports the type 'Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Models.PSRegistrationDefinition' for parameter 'InputObject'.","Change the type for parameter 'InputObject' back to 'Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Models.PSRegistrationDefinition'."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.RemoveAzureRmManagedServicesDefinition","Remove-AzManagedServicesDefinition","0","2020","The cmdlet 'Remove-AzManagedServicesDefinition' no longer supports the type 'Microsoft.Azure.Commands.Common.Authentication.Abstractions.Core.IAzureContextContainer' for parameter 'DefaultProfile'.","Change the type for parameter 'DefaultProfile' back to 'Microsoft.Azure.Commands.Common.Authentication.Abstractions.Core.IAzureContextContainer'."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.RemoveAzureRmManagedServicesDefinition","Remove-AzManagedServicesDefinition","0","2010","The cmdlet 'Remove-AzManagedServicesDefinition' no longer supports the alias 'AzContext' for parameter 'DefaultProfile'.","Add the alias 'AzContext' back to parameter 'DefaultProfile'."
